outer_j,agent,model,M,objective_primary,lex_used,phi_terminal,ri_terminal,r_term0,r_term1,diam_C,t_primary_ms,t_lex_ms,t_total_ms,n_var_primary,n_eq_primary,n_ineq_primary,n_var_lex,n_eq_lex,n_ineq_lex,nominal_fallback_used,nominal_status,bary_r0,bary_r1
2,3,single_integrator,7,8.537561790730873,0,0.33414018260285017,1,-1.383229950099102,-2.266336706780778,2.3875768977812077,31.693962999270298,0.0,31.693962999270298,17,3,64,0,0,0,1,nan,-1.3832521603972276,-2.2666435671079928
2,4,single_integrator,7,8.129734787301635,0,0.32361872637037614,1,-0.7425044551412199,-3.2860467385387597,2.5159108777544668,31.788521002454218,0.0,31.788521002454218,17,3,64,0,0,0,1,nan,-0.7422699805085019,-3.286234260980011
3,1,single_integrator,7,8.391539310777057,0,0.28488555902324836,1,0.3905840956971272,-3.0765361218538936,2.3066951872897814,36.17079600371653,0.0,36.17079600371653,17,3,64,0,0,0,1,nan,0.39054873864084055,-3.076233016937239
3,2,single_integrator,7,10.276576546068606,0,0.253748765242536,1,-0.6121544428889962,-2.3799007781381096,2.2973996959208964,35.53664199716877,0.0,35.53664199716877,17,3,64,0,0,0,1,nan,-0.6124875671339962,-2.379845994690624
3,3,single_integrator,7,7.824303845899224,0,0.2195065262507261,1,-1.8338615054538538,-2.584449330299109,2.3066951872897814,38.58703599689761,0.0,38.58703599689761,17,3,64,0,0,0,1,nan,-1.8335708422336308,-2.584497477824336
3,4,single_integrator,7,9.18545076162831,0,0.1900298353792312,1,-1.1880031644883169,-3.637326837891529,2.2749809328405926,36.2643129992648,0.0,36.2643129992648,17,3,64,0,0,0,1,nan,-1.1879252619499903,-3.6376362791787478
4,1,single_integrator,7,9.780249489517287,0,0.4613831643422532,1,0.41661926286528916,-3.006042979402526,4.323510940805769,38.02138400351396,0.0,38.02138400351396,17,3,64,0,0,0,1,nan,0.4165933792231502,-3.0057145617932104
4,2,single_integrator,7,35.82056818238911,0,0.4987305549784399,1,-0.02168950449208797,-2.0269852409423788,2.971889191214098,32.94764699967345,0.0,32.94764699967345,17,3,64,0,0,0,1,nan,-0.02228625788683804,-2.027188096886198
4,3,single_integrator,7,3.4463670390965087,0,0.052453286440583835,1,-1.6599826737024912,-2.5190711625593853,4.323510940805769,31.46087599452585,0.0,31.46087599452585,17,3,64,0,0,0,1,nan,-1.6597876651003722,-2.5190960221692236
4,4,single_integrator,7,17.538033453866017,0,0.2892037227447435,1,-1.4575084414688535,-3.9302661221338857,2.5483844616369535,37.45574400090845,0.0,37.45574400090845,17,3,64,0,0,0,1,nan,-1.4570803425162888,-3.9303722109504218
5,1,single_integrator,7,11.401327682628352,0,0.4950872309859331,1,0.4629753569145102,-3.103742970032624,4.0157055989851935,34.82943600101862,0.0,34.82943600101862,17,3,64,0,0,0,1,nan,0.4629217202197335,-3.103391348746173
5,2,single_integrator,7,16.074372482644062,0,1.1818715084323292,1,0.6200464649275972,-2.4258997378362572,2.364587443496137,32.567785994615406,0.0,32.567785994615406,16,3,63,0,0,0,1,nan,0.619728404035501,-2.426177409145703
5,3,single_integrator,7,3.112683502495236,0,0.06130889024275507,1,-1.6351518900686663,-2.5598972626384042,4.0157055989851935,32.570397001109086,0.0,32.570397001109086,17,3,64,0,0,0,1,nan,-1.6349671158661119,-2.560033314454667
5,4,single_integrator,7,17.143957695293754,0,0.2851582762894457,1,-1.3451899107119363,-3.9622195529881807,2.6330998767953138,30.09357699920656,0.0,30.09357699920656,17,3,64,0,0,0,1,nan,-1.3447764721325277,-3.9623581688534686
6,1,single_integrator,7,22.578543585029763,0,0.6852432298499175,1,0.5618166974722563,-3.2847513445952337,4.008713616219306,28.72021999792196,0.0,28.72021999792196,17,3,64,0,0,0,1,nan,0.5616910281502048,-3.2842668714028327
6,2,single_integrator,7,28.360495288825692,0,0.7167878564879483,1,0.09093788781001824,-2.323433523661808,2.768340793024642,39.62995899928501,0.0,39.62995899928501,17,3,64,0,0,0,1,nan,0.09043284686551781,-2.323677363629667
6,3,single_integrator,7,3.1026333016375,0,0.060034371808008864,1,-1.6371239557871005,-2.5563964465438627,4.008713616219306,32.474393003212754,0.0,32.474393003212754,17,3,64,0,0,0,1,nan,-1.636938547047773,-2.5565514279085866
6,4,single_integrator,7,21.93715617798552,0,0.31272187905399124,1,-1.2451495207258985,-4.145549126675967,3.196492780323785,31.357962005131412,0.0,31.357962005131412,17,3,64,0,0,0,1,nan,-1.2447008901956993,-4.145754121635285
7,1,single_integrator,7,19.64855195824001,0,0.6079205222610364,1,0.4816425703531897,-3.280075609870173,3.7135440097336136,30.14611400431022,0.0,30.14611400431022,17,3,64,0,0,0,1,nan,0.481468021000714,-3.27964255116091
7,2,single_integrator,7,14.012070427770883,0,0.43787307856755886,1,0.3066196886860816,-2.4132347508097785,2.1462263420725627,39.400213994667865,0.0,39.400213994667865,17,3,64,0,0,0,1,nan,0.3062969435767121,-2.4134610826457297
7,3,single_integrator,7,0.3912825034630379,0,0.021547454380795996,1,-1.4407947150625453,-2.694530576423681,3.7135440097336136,30.68213299411582,0.0,30.68213299411582,17,3,64,0,0,0,1,nan,-1.4408588333893924,-2.6945185887801166
7,4,single_integrator,7,32.8450547500936,0,0.3911045350025581,1,-0.9320943818684045,-4.187701959571565,3.158756707594363,30.019657999218907,0.0,30.019657999218907,17,3,64,0,0,0,1,nan,-0.9315329520147745,-4.18792346065157
8,1,single_integrator,7,16.982944454268605,0,0.559845010525981,1,0.3586319409714365,-3.2635145158737187,3.494194820199837,31.189516004815232,0.0,31.189516004815232,17,3,64,0,0,0,1,nan,0.35846655777225644,-3.263113162531996
8,2,single_integrator,7,11.725471531152984,0,0.41300615301268945,1,0.14927500845614072,-2.3934413981568365,1.972190701542003,31.864735996350646,0.0,31.864735996350646,17,3,64,0,0,0,1,nan,0.14897462136702053,-2.393640886631013
8,3,single_integrator,7,0.3931942531051511,0,0.0073330071580212505,1,-1.5487038678318996,-2.709581600469424,3.494194820199837,34.33224999753293,0.0,34.33224999753293,17,3,64,0,0,0,1,nan,-1.548773331868445,-2.709925981713616
8,4,single_integrator,7,29.36586787094603,0,0.37382244342567544,1,-1.0162304772021529,-4.149572634237261,2.9767246734944113,34.81535200262442,0.0,34.81535200262442,17,3,64,0,0,0,1,nan,-1.0156989457445817,-4.149780380931688
9,1,single_integrator,7,16.713100870399277,0,0.58736292952689,1,0.5853136483672717,-3.1961115585792688,4.10787509711187,33.35455500200624,0.0,33.35455500200624,17,3,64,0,0,0,1,nan,0.5852028284142508,-3.1956954313078607
9,2,single_integrator,7,24.105132065051755,0,0.5251498829217524,1,0.3150868264440643,-2.334244449970538,2.407756413828917,31.004317999759223,0.0,31.004317999759223,17,3,64,0,0,0,1,nan,0.31462806692073625,-2.334482928565776
9,3,single_integrator,7,0.31937972986022556,0,0.04133227225167507,1,-1.4087637493042093,-2.6567464181767306,4.10787509711187,39.07907200482441,0.0,39.07907200482441,17,3,64,0,0,0,1,nan,-1.4087095353564854,-2.656819677005021
9,4,single_integrator,7,28.1950801264412,0,0.3220465691210116,1,-1.054542661601365,-4.143895962512855,3.029878151643292,32.77281199552817,0.0,32.77281199552817,17,3,64,0,0,0,1,nan,-1.054023805565674,-4.144104498862513
10,1,single_integrator,7,14.304248154703648,0,0.5536652536143994,1,0.6774469454584443,-3.267458448897512,3.869927777158892,32.26829899358563,0.0,32.26829899358563,17,3,64,0,0,0,1,nan,0.6773689161544727,-3.267067763383286
